county,percchange
Jackson,-0.17
Lawrence,-0.17
Little River,-0.17
Poinsett,-0.18
Sevier,-0.16
Rockdale,-0.16
Hawaii,-0.16
Honolulu,-0.20
Kauai,-0.16
Maui,-0.17
Dubois,-0.17
Montgomery,-0.16
Rush,-0.16
Knott,-0.18
Big Horn,-0.16
Carter,-0.22
Mineral,-0.16
Powder River,-0.26
Grant,-0.32
Coal,-0.20
Culberson,-0.18
Maverick,-0.19
