"","year","state","state_po","county","FIPS","office","candidate","party","candidatevotes","totalvotes","version","percchange"
"1",2016,"Nevada","NV","Churchill",32001,"President","Hillary Clinton","democrat",2210,10938,20191203,"-8.64%"
"2",2016,"Nevada","NV","Churchill",32001,"President","Donald Trump","republican",7830,10938,20191203,"2.80%"
"3",2016,"Nevada","NV","Churchill",32001,"President","Other",NA,898,10938,20191203,"5.84%"
"4",2016,"Nevada","NV","Clark",32003,"President","Hillary Clinton","democrat",402227,767156,20191203,"-3.98%"
"5",2016,"Nevada","NV","Clark",32003,"President","Donald Trump","republican",320057,767156,20191203,"-0.10%"
"6",2016,"Nevada","NV","Clark",32003,"President","Other",NA,44872,767156,20191203,"4.08%"
"7",2016,"Nevada","NV","Douglas",32005,"President","Hillary Clinton","democrat",8454,27885,20191203,"-5.34%"
"8",2016,"Nevada","NV","Douglas",32005,"President","Donald Trump","republican",17415,27885,20191203,"0.03%"
"9",2016,"Nevada","NV","Douglas",32005,"President","Other",NA,2016,27885,20191203,"5.30%"
"10",2016,"Nevada","NV","Elko",32007,"President","Hillary Clinton","democrat",3401,18559,20191203,"-3.64%"
"11",2016,"Nevada","NV","Elko",32007,"President","Donald Trump","republican",13551,18559,20191203,"-2.14%"
"12",2016,"Nevada","NV","Elko",32007,"President","Other",NA,1607,18559,20191203,"5.78%"
"13",2016,"Nevada","NV","Esmeralda",32009,"President","Hillary Clinton","democrat",65,423,20191203,"-5.78%"
"14",2016,"Nevada","NV","Esmeralda",32009,"President","Donald Trump","republican",329,423,20191203,"4.90%"
"15",2016,"Nevada","NV","Esmeralda",32009,"President","Other",NA,29,423,20191203,"0.88%"
"16",2016,"Nevada","NV","Eureka",32011,"President","Hillary Clinton","democrat",74,854,20191203,"-4.58%"
"17",2016,"Nevada","NV","Eureka",32011,"President","Donald Trump","republican",723,854,20191203,"2.61%"
"18",2016,"Nevada","NV","Eureka",32011,"President","Other",NA,57,854,20191203,"1.97%"
"19",2016,"Nevada","NV","Humboldt",32013,"President","Hillary Clinton","democrat",1386,6433,20191203,"-8.70%"
"20",2016,"Nevada","NV","Humboldt",32013,"President","Donald Trump","republican",4521,6433,20191203,"3.95%"
"21",2016,"Nevada","NV","Humboldt",32013,"President","Other",NA,526,6433,20191203,"4.75%"
"22",2016,"Nevada","NV","Lander",32015,"President","Hillary Clinton","democrat",403,2413,20191203,"-7.96%"
"23",2016,"Nevada","NV","Lander",32015,"President","Donald Trump","republican",1828,2413,20191203,"2.78%"
"24",2016,"Nevada","NV","Lander",32015,"President","Other",NA,182,2413,20191203,"5.19%"
"25",2016,"Nevada","NV","Lincoln",32017,"President","Hillary Clinton","democrat",285,2132,20191203,"-5.22%"
"26",2016,"Nevada","NV","Lincoln",32017,"President","Donald Trump","republican",1671,2132,20191203,"-0.20%"
"27",2016,"Nevada","NV","Lincoln",32017,"President","Other",NA,176,2132,20191203,"5.42%"
"28",2016,"Nevada","NV","Lyon",32019,"President","Hillary Clinton","democrat",6146,23762,20191203,"-8.52%"
"29",2016,"Nevada","NV","Lyon",32019,"President","Donald Trump","republican",16005,23762,20191203,"4.37%"
"30",2016,"Nevada","NV","Lyon",32019,"President","Other",NA,1611,23762,20191203,"4.15%"
"31",2016,"Nevada","NV","Mineral",32021,"President","Hillary Clinton","democrat",637,1997,20191203,"-10.51%"
"32",2016,"Nevada","NV","Mineral",32021,"President","Donald Trump","republican",1179,1997,20191203,"5.97%"
"33",2016,"Nevada","NV","Mineral",32021,"President","Other",NA,181,1997,20191203,"4.54%"
"34",2016,"Nevada","NV","Nye",32023,"President","Hillary Clinton","democrat",5094,19595,20191203,"-10.07%"
"35",2016,"Nevada","NV","Nye",32023,"President","Donald Trump","republican",13324,19595,20191203,"7.70%"
"36",2016,"Nevada","NV","Nye",32023,"President","Other",NA,1177,19595,20191203,"2.38%"
"37",2016,"Nevada","NV","Pershing",32027,"President","Hillary Clinton","democrat",430,1982,20191203,"-11.85%"
"38",2016,"Nevada","NV","Pershing",32027,"President","Donald Trump","republican",1403,1982,20191203,"8.84%"
"39",2016,"Nevada","NV","Pershing",32027,"President","Other",NA,149,1982,20191203,"3.01%"
"40",2016,"Nevada","NV","Storey",32029,"President","Hillary Clinton","democrat",752,2558,20191203,"-10.36%"
"41",2016,"Nevada","NV","Storey",32029,"President","Donald Trump","republican",1616,2558,20191203,"6.09%"
"42",2016,"Nevada","NV","Storey",32029,"President","Other",NA,190,2558,20191203,"4.27%"
"43",2016,"Nevada","NV","Washoe",32031,"President","Hillary Clinton","democrat",97379,209909,20191203,"-4.40%"
"44",2016,"Nevada","NV","Washoe",32031,"President","Donald Trump","republican",94758,209909,20191203,"-1.94%"
"45",2016,"Nevada","NV","Washoe",32031,"President","Other",NA,17772,209909,20191203,"6.34%"
"46",2016,"Nevada","NV","White Pine",32033,"President","Hillary Clinton","democrat",707,3773,20191203,"-7.80%"
"47",2016,"Nevada","NV","White Pine",32033,"President","Donald Trump","republican",2723,3773,20191203,"1.95%"
"48",2016,"Nevada","NV","White Pine",32033,"President","Other",NA,343,3773,20191203,"5.85%"
"49",2016,"Nevada","NV","Carson City",32510,"President","Hillary Clinton","democrat",9610,25016,20191203,"-5.72%"
"50",2016,"Nevada","NV","Carson City",32510,"President","Donald Trump","republican",13125,25016,20191203,"-0.68%"
"51",2016,"Nevada","NV","Carson City",32510,"President","Other",NA,2281,25016,20191203,"6.40%"
