county,percchange
Cleburne,-0.14
Cleveland,-0.15
Grant,-0.14
Greene,-0.14
Jackson,-0.17
Lawrence,-0.17
Lincoln,-0.13
Little River,-0.17
Poinsett,-0.18
Sevier,-0.16
Woodruff,-0.14
Floyd,-0.14
Knott,-0.18
Letcher,-0.14
Cameron,-0.13
Coal,-0.20
Benton,-0.14
Decatur,-0.14
Grundy,-0.14
Scott,-0.15
