county,percchange
Cleveland,0.12
Jackson,0.14
Lawrence,0.13
Little River,0.14
Poinsett,0.16
Sevier,0.14
Floyd,0.12
Harlan,0.12
Knott,0.17
Letcher,0.12
Perry,0.12
Cameron,0.13
Choctaw,0.12
Coal,0.20
Haskell,0.13
Latimer,0.12
Pushmataha,0.12
Benton,0.12
Decatur,0.13
Grundy,0.13
